,Unnamed: 0,Unnamed: 0.1,Kline open time,Coin,Open price,Daily Open price pct_change,High price,Daily High price pct_change,Low price,Daily Low price pct_change,Close price,Daily Close price pct_change,relative_strength
3838,3838,108,2023-02-20,DASH/USDT,70.52,-0.0206915706151924,74.3,0.0112971280794882,70.17,0.0022853878017425,72.35,0.0256592004536431,1.0917781978870935
3839,3839,109,2023-02-21,DASH/USDT,72.34,0.0258082813386273,73.0,-0.0174966352624494,68.6,-0.0223742340031353,70.77,-0.0218382861091913,1.3909113710946404
3840,3840,110,2023-02-22,DASH/USDT,70.79,-0.0214265966270389,74.09,0.0149315068493152,68.22,-0.005539358600583,73.44,0.0377278507842306,-3.4174011625565406
3841,3841,111,2023-02-23,DASH/USDT,73.44,0.0374346659132645,74.01,-0.0010797678499122,70.26,0.0299032541776607,70.96,-0.0337690631808279,3.3742844400729504
3842,3842,112,2023-02-24,DASH/USDT,71.0,-0.0332244008714596,71.38,-0.035535738413728,67.18,-0.0438371762026758,70.07,-0.012542277339346,0.3977489077630594
3843,3843,113,2023-02-25,DASH/USDT,70.04,-0.0135211267605632,70.59,-0.0110675259176238,66.86,-0.0047633224173861,69.43,-0.0091337234194375,7.504182362135354
3844,3844,114,2023-02-26,DASH/USDT,69.43,-0.0087093089663049,74.73,0.0586485337866553,69.04,0.032605444211786,74.07,0.0668299006193287,3.8905542931641737
3845,3845,115,2023-02-27,DASH/USDT,74.07,0.0668299006193287,75.0,0.0036130068245683,72.05,0.043597914252607,74.33,0.0035101930606185,-1.3174326165377745
3846,3846,116,2023-02-28,DASH/USDT,74.29,0.0029701633589849,74.69,-0.0041333333333333,71.05,-0.0138792505204718,71.59,-0.0368626395802501,2.4705593023416688
3847,3847,117,2023-03-01,DASH/USDT,71.72,-0.0345941580293445,74.17,-0.0069621100548935,71.1,0.0007037297677692,74.13,0.0354798156167062,1.6845683969657435
3848,3848,118,2023-03-02,DASH/USDT,74.1,0.0331846068042387,74.38,0.0028313334232168,70.7,-0.0056258790436004,72.5,-0.0219883987589369,3.1748439634766625
